,ratings,user,bookid
0,5,1,10365
1,5,1,34941133
2,5,1,32768285
3,5,1,33232571
4,5,1,10147
5,5,1,29983426
6,5,1,38300
7,5,1,28699343
8,5,1,40
9,5,1,37684
10,5,1,24375664
11,5,1,22875447
12,5,1,22816087
13,5,1,22318578
14,5,1,1
15,5,1,20604826
16,5,1,21792828
17,5,1,18777578
18,5,1,2262
19,5,1,18296097
20,5,1,18245960
21,5,1,18176747
22,5,1,19816540
23,5,1,17660462
24,5,1,17290220
25,5,1,4099
26,5,1,18662473
27,5,1,17315048
28,5,1,15839976
29,5,1,17451257
30,5,1,14356972
31,5,1,13573189
32,5,1,10294362
33,5,1,20873740
34,5,1,13414676
35,5,1,25735618
36,5,1,840
37,5,1,13148183
38,5,1,16008171
39,5,1,19743
40,5,1,13526165
41,5,1,11474551
42,5,1,11297044
43,5,1,10552338
44,5,1,8664353
45,5,1,24815
46,5,1,7685831
47,5,1,7518289
48,5,1,28815
49,5,1,8519525
50,5,1,30119
51,5,1,370493
52,5,1,6954929
53,5,1,6908202
54,5,1,6828896
55,5,1,6480781
56,5,1,8213519
57,5,1,6390320
58,5,1,6289283
59,5,1,6150530
60,5,1,4
61,5,1,890
62,5,1,5100525
63,5,1,40955
64,5,1,32682
65,5,1,4908081
66,5,1,865
67,5,1,3
68,5,1,760025
69,5,1,29893493
70,5,1,1022863
71,5,1,8127
72,5,1,33
73,5,1,43244
74,5,1,1067
75,5,1,8545079
76,5,1,8622058
77,5,1,2122
78,5,1,874
79,5,1,2657
80,5,1,10572
81,5,1,5548
82,5,1,128029
83,5,1,1852
84,5,1,67490
85,5,1,1232
86,5,1,5759
87,5,1,5129
88,5,1,34
89,5,1,361
90,5,1,76931
91,5,1,76932
92,5,1,76933
93,5,1,76934
94,5,1,76936
95,5,1,32198
96,5,1,76948
97,5,1,76952
98,5,1,76953
99,5,1,36505603
100,5,1,2998
101,5,1,5577844
102,5,1,4948
103,5,1,23772
104,5,1,30
105,5,1,11
106,5,1,8191070
107,5,1,295
108,5,1,96646
109,5,1,98233
110,5,1,1713426
111,5,1,1893
112,5,1,6
113,5,1,5107
114,5,1,6621611
115,5,1,19543
116,5,1,569564
117,5,1,156770
118,5,1,375711
119,5,1,18512
120,5,1,15241
121,5,1,136251
122,5,1,862041
123,5,1,10673579
124,5,1,12
125,5,1,3764
126,5,1,5572634
127,5,1,5064
128,5,1,2
129,5,1,2767052
130,5,1,3388
131,5,1,7624
132,5,1,6310
133,5,1,5470
134,5,1,304889
135,5,1,177193
136,5,1,3758
137,5,1,186074
138,5,1,2485075
139,5,1,2265
140,5,1,178186
141,5,1,901
142,5,1,5
143,5,1,31646
144,5,1,24816
145,5,1,18646
146,5,1,21
147,5,1,16064871
148,5,1,210009
149,5,1,211099
150,5,1,7613
151,5,1,6563914
152,5,1,157993
153,5,1,31196
154,5,1,42407
155,5,1,38296
156,5,1,2054761
157,5,1,4671
158,5,1,1969280
159,5,1,18116
160,5,1,32570472
161,5,1,11012
162,5,1,231850
163,5,1,944102
164,5,1,32570572
165,5,1,22034
166,5,1,368593
167,5,1,278662
168,5,1,8695
169,5,1,2956
170,5,1,76964
171,5,1,2674
172,5,1,41804
173,5,1,5544
174,5,1,1165806
175,5,1,2429135
176,5,1,45
177,5,1,4981
178,5,1,119324
179,5,1,5907
180,5,1,119322
181,5,1,6984678
182,5,1,1226
183,5,1,77566
184,5,1,7126
185,5,1,76620
186,5,1,4380
187,5,1,411703
188,5,1,7190
189,5,1,99107
190,5,1,2052
191,5,1,3590
192,5,1,77432
193,5,1,1004
194,5,1,8125726
195,5,1,781787
196,5,1,19494
197,5,1,488908
198,5,1,76961
199,5,1,502362
200,5,1,816
201,5,1,62291
202,5,1,50
203,5,1,1306
204,5,1,13792790
205,5,1,33507
206,5,1,76865
207,5,1,18919798
208,5,1,87976
209,5,1,595069
210,5,1,3876
211,5,1,76963
212,5,1,59715
213,5,1,2574
214,5,1,32923
215,5,1,739484
216,5,1,24818
217,5,1,350
218,5,1,24769588
219,5,1,460548
220,5,1,897461
221,5,1,19321
222,5,1,122
223,5,1,8907702
224,5,1,853961
225,5,1,125404
226,5,1,7526
227,5,1,817720
228,5,1,95420
229,5,1,77430
230,5,1,815985
231,5,1,18699
232,5,1,760129
233,5,1,760119
234,5,1,9624
235,4,1,774088
236,4,1,41619
237,4,1,15769
238,4,1,17214
239,4,1,295961
240,4,1,13103
241,4,1,30282601
242,4,1,2623
243,4,1,29584452
244,4,1,11129
245,4,1,28114110
246,4,1,28119237
247,4,1,31138556
248,4,1,77431
249,4,1,23310161
250,4,1,130580
251,4,1,3061530
252,4,1,7244
253,4,1,4610
254,4,1,25884323
255,4,1,3760
256,4,1,493
257,4,1,37553
258,4,1,7967
259,4,1,7082
260,4,1,835
261,4,1,2618
262,4,1,857
263,4,1,2748
264,4,1,22551730
265,4,1,515608
266,4,1,1202
267,4,1,228560
268,4,1,6644782
269,4,1,177194
270,4,1,22557272
271,4,1,1633
272,4,1,10405048
273,4,1,19404862
274,4,1,2256
275,4,1,116187
276,4,1,1953
277,4,1,18670662
278,4,1,18774020
279,4,1,18659415
280,4,1,18886735
281,4,1,19398490
282,4,1,22078596
283,4,1,1622
284,4,1,142296
285,4,1,17860739
286,4,1,108905
287,4,1,918095
288,4,1,771
289,4,1,17354
290,4,1,41786
291,4,1,22328
292,4,1,347610
293,4,1,235559
294,4,1,17855756
295,4,1,17563539
296,4,1,17333223
297,4,1,18131
298,4,1,4248
299,4,1,21314
300,4,1,2612
301,4,1,629604
302,4,1,10853
303,4,1,13453029
304,4,1,16033093
305,4,1,3759
306,4,1,14497
307,4,1,1903879
308,4,1,2118114
309,4,1,3055086
310,4,1,3757
311,4,1,18914012
312,4,1,12953520
313,4,1,86630
314,4,1,6987584
315,4,1,19764
316,4,1,231264
317,4,1,33600
318,4,1,12609433
319,4,1,75004
320,4,1,14366
321,4,1,12567957
322,4,1,3368
323,4,1,1027760
324,4,1,1010966
325,4,1,11869272
326,4,1,256008
327,4,1,3109
328,4,1,469571
329,4,1,19691
330,4,1,10139649
331,4,1,12961964
332,4,1,517266
333,4,1,9969571
334,4,1,9938498
335,4,1,1903878
336,4,1,180116
337,4,1,9418327
338,4,1,8648
339,4,1,32349
340,4,1,26899
341,4,1,77565
342,4,1,3977
343,4,1,830
344,4,1,1376
345,4,1,7112495
346,4,1,18920567
347,4,1,320
348,4,1,2140
349,4,1,18670661
350,4,1,49226
351,4,1,7315573
352,4,1,773858
353,4,1,77427
354,4,1,31139
355,4,1,32606
356,4,1,1898
357,4,1,9460786
358,4,1,20233943
359,4,1,1301
360,4,1,960
361,4,1,10148
362,4,1,361459
363,4,1,235324
364,4,1,18135
365,4,1,1384
366,4,1,5358
367,4,1,43536
368,4,1,6882
369,4,1,38840
370,4,1,3228917
371,4,1,18122
372,4,1,912
373,4,1,452196
374,4,1,43944
375,4,1,1003378
376,4,1,5494321
377,4,1,335813
378,4,1,3750
379,4,1,8714
380,4,1,2552
381,4,1,48855
382,4,1,85009
383,4,1,685
384,4,1,34993
385,4,1,105
386,4,1,106
387,4,1,66406
388,4,1,4648
389,4,1,112
390,4,1,69242
391,4,1,40958
392,4,1,4986701
393,4,1,1536419
394,4,1,37415
395,4,1,18490
396,4,1,117
397,4,1,41643
398,4,1,103
399,4,1,25019
400,4,1,123715
401,3,1,588146
402,3,1,41653
403,3,1,6337218
404,3,1,12296
405,3,1,32669
406,3,1,5720
407,3,1,353479
408,3,1,10146
409,3,1,19668
410,3,1,19675
411,3,1,19707
412,3,1,35097545
413,3,1,11275
414,3,1,279556
415,3,1,33395538
416,3,1,16981
417,3,1,7745
418,3,1,1317946
419,3,1,41716
420,3,1,5559
421,3,1,6411961
422,3,1,6452796
423,3,1,33947227
424,3,1,555313
425,3,1,6713575
426,3,1,6652906
427,3,1,8650
428,3,1,8684868
429,3,1,8296156
430,3,1,424587
431,3,1,7905092
432,3,1,29058155
433,3,1,760111
434,3,1,513207
435,3,1,9151181
436,3,1,9850443
437,3,1,216443
438,3,1,11223478
439,3,1,1119327
440,3,1,263012
441,3,1,797268
442,3,1,12969594
443,3,1,54812
444,3,1,19687
445,3,1,302618
446,3,1,262963
447,3,1,37609
448,3,1,1032760
449,3,1,8694005
450,3,1,7668
451,3,1,7679
452,3,1,7667
453,3,1,13239822
454,3,1,762806
455,3,1,242268
456,3,1,629566
457,3,1,9339
458,3,1,191669
459,3,1,18455
460,3,1,17306293
461,3,1,25410261
462,3,1,77168
463,3,1,856
464,3,1,6392944
465,3,1,17910054
466,3,1,54499
467,3,1,13148
468,3,1,28684704
469,3,1,1843
470,3,1,513158
471,3,1,4395
472,3,1,513173
473,3,1,161540
474,3,1,4902
475,3,1,685448
476,3,1,7661
477,3,1,7061
478,3,1,23158207
479,3,1,34497
480,3,1,52357
481,3,1,662
482,3,1,24128
483,3,1,760110
484,2,1,7672
485,2,1,19002
486,2,1,828
487,2,1,975
488,2,1,455373
489,2,1,77013
490,2,1,3396933
491,2,1,11125
492,2,1,8423493
493,2,1,7682
494,2,1,32542
495,1,1,35301333
496,1,1,129549
497,0,1,23014006
498,0,1,151
499,0,1,172313
500,0,1,318431
501,0,1,172645
502,0,1,18989
503,0,1,2279538
504,0,1,22320
505,0,1,181205
506,0,1,423305
507,0,1,2632830
508,0,1,2637318
509,0,1,428263
510,0,1,192378
511,0,1,393199
512,0,1,161789
513,0,1,160338
514,0,1,6383669
515,0,1,831635
516,0,1,876843
517,0,1,71730
518,0,1,155981
519,0,1,150731
520,0,1,4865
521,0,1,146274
522,0,1,145102
523,0,1,5558
524,0,1,5579
525,0,1,6867
526,0,1,2819368
527,0,1,143718
528,0,1,206157
529,0,1,2296567
530,0,1,2875137
531,0,1,2294328
532,0,1,143675
533,0,1,8140686
534,0,1,97782
535,0,1,2899681
536,0,1,16304
537,0,1,2278064
538,0,1,143999
539,0,1,12467
540,0,1,2213661
541,0,1,4264
542,0,1,137554
543,0,1,134231
544,0,1,132900
545,0,1,125466
546,0,1,218046
547,0,1,9715309
548,0,1,6699949
549,0,1,225111
550,0,1,684240
551,0,1,6050992
552,0,1,13642
553,0,1,115471
554,0,1,242472
555,0,1,1006087
556,0,1,33053
557,0,1,30597
558,0,1,685418
559,0,1,3023360
560,0,1,45546
561,0,1,101910
562,0,1,6565837
563,0,1,243725
564,0,1,93180
565,0,1,3054673
566,0,1,836610
567,0,1,315425
568,0,1,38315
569,0,1,245344
570,0,1,984021
571,0,1,1081413
572,0,1,92160
573,0,1,88666
574,0,1,17238
575,0,1,1998185
576,0,1,1995421
577,0,1,3973
578,0,1,84699
579,0,1,2590
580,0,1,164154
581,0,1,2638639
582,0,1,24280
583,0,1,70132
584,0,1,328854
585,0,1,5526
586,0,1,2493
587,0,1,68143
588,0,1,61329
589,0,1,4912857
590,0,1,3222979
591,0,1,255127
592,0,1,16631
593,0,1,6759
594,0,1,168642
595,0,1,18364442
596,0,1,36510196
597,0,1,87985
598,0,1,21484
599,0,1,133394
600,0,1,3251206
601,0,1,11452263
602,0,1,276079
603,0,1,3359
604,0,1,1839361
605,0,1,1837402
606,0,1,300024
607,0,1,16286
608,0,1,48019
609,0,1,3559
610,0,1,3308712
611,0,1,324735
612,0,1,324750
613,0,1,5043
614,0,1,43615
615,0,1,540020
616,0,1,29579
617,0,1,150771
618,0,1,1741472
619,0,1,228331
620,0,1,26245763
